,track_id,n_frames_present,frame1,framef,mean_dn,std_dn,mean_dist,completeness,gap
2095,1523,1,247,247,2961.948974609375,,,1.0,0
2096,2124,1,350,350,2942.99072265625,,,1.0,0
2097,320,2,48,49,2923.7423095703125,133.09127237193,1.9525624189766635,1.0,0
2098,1989,1,328,328,2923.466064453125,,,1.0,0
2099,341,3,52,54,2914.704345703125,130.24996088538984,1.4142135623730951,1.0,0
2100,1289,1,201,201,2894.517333984375,,,1.0,0
2101,196,1,25,25,2846.60302734375,,,1.0,0
2102,854,1,129,129,2844.498291015625,,,1.0,0
2103,1193,1,184,184,2841.79150390625,,,1.0,0
2104,1260,2,195,196,2835.2520751953125,196.71465513051822,2.23606797749979,1.0,0
2105,1123,1,173,173,2833.0732421875,,,1.0,0
2106,1344,1,211,211,2829.43212890625,,,1.0,0
2107,1199,3,185,187,2828.2399088541665,321.705706566454,2.1095023109728612,1.0,0
2108,1630,4,266,269,2798.0101928710938,265.88711397255406,2.236904272157041,1.0,0
2109,1588,5,259,263,2794.659033203125,189.15281629428316,2.10159732816182,1.0,0
2110,1599,1,261,261,2792.0615234375,,,1.0,0
2111,956,1,143,143,2782.559326171875,,,1.0,0
2112,1698,4,278,281,2779.82958984375,102.54868454610249,2.1790768703403676,1.0,0
2113,1852,1,305,305,2772.363037109375,,,1.0,0
2114,2034,2,334,335,2763.2197265625,91.24715826756874,2.1505813167606567,1.0,0
2115,228,3,31,33,2756.6558430989585,116.8810605008619,1.4142135623730951,1.0,0
2116,428,4,64,67,2754.949462890625,198.82767176068697,1.4142135623730951,1.0,0
2117,1607,3,263,265,2744.1078287760415,134.03667245986983,2.0194218076158923,1.0,0
2118,1879,1,310,310,2735.277587890625,,,1.0,0
2119,1291,1,201,201,2729.369384765625,,,1.0,0
2120,1277,1,198,198,2713.3857421875,,,1.0,0
2121,1983,1,327,327,2704.702392578125,,,1.0,0
2122,1076,1,164,164,2684.925537109375,,,1.0,0
2123,1563,3,255,257,2668.220703125,207.13049180434288,2.0194218076158923,1.0,0
2124,1896,3,314,316,2661.1847330729165,298.17599911213057,2.1727851442363253,1.0,0
2125,1542,2,250,251,2660.3575439453125,225.29033171163317,2.23606797749979,1.0,0
2126,1145,2,176,177,2652.8009033203125,6.932097851207475,1.4142135623730951,1.0,0
2127,1915,1,318,318,2650.24609375,,,1.0,0
2128,680,1,105,105,2650.115966796875,,,1.0,0
2129,1679,3,274,276,2645.2503255208335,176.9306373311857,2.0194218076158923,1.0,0
2130,1593,1,260,260,2640.204345703125,,,1.0,0
2131,1860,2,307,308,2620.771240234375,32.74270379895697,2.704163456597992,1.0,0
2132,1089,2,166,167,2617.3572998046875,112.45397426397965,1.4142135623730951,1.0,0
2133,1233,2,191,192,2556.91845703125,64.09847012719793,2.23606797749979,1.0,0
2134,1025,1,155,155,2555.62646484375,,,1.0,0
2135,592,1,89,89,2552.353759765625,,,1.0,0
2136,333,1,51,51,2539.58837890625,,,1.0,0
2137,2109,2,347,348,2529.757080078125,124.83990937867476,1.8027756377319946,1.0,0
2138,1047,6,159,164,2524.7897135416665,191.48968821958502,1.4171509497622126,1.0,0
2139,1936,2,321,322,2523.4786376953125,146.14788860110502,2.23606797749979,1.0,0
2140,963,2,144,145,2504.5419921875,422.36371923748965,2.024845673131646,1.0,0
